0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,13,18,23,24,25,26,27,32,37,42,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,241,250,260,270,280,290,300,310,320,331,342,353,364,375,386,397,408,419,430,441,452,463,474,487,500,513,528,544,560,576,592,611
0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,9,17,25,37,48,61,74,87,102,117,132,147,162,177,193,209,225,241,257,273,289,306,325,345,367,389,413,437,463,489,515,542,571,600,629,660,691,723,755,787,819,852,885,918,951,984,1019,1056,1093,1130,1167,1207,1248,1290,1333,1377,1425,1475,1526,1577,1630,1685,1740,1796,1852,1908,1964,2022,2081,2140,2200,2260,2325,2393,2462,2533
0,0,0,0,0,0,0,1,4,7,12,18,27,36,45,56,66,80,96,113,131,149,168,187,206,226,246,266,286,307,328,350,372,396,420,446,475,504,533,562,591,621,651,681,712,743,774,805,836,867,898,929,960,991,1022,1053,1084,1116,1148,1181,1214,1247,1280,1313,1346,1379,1412,1445,1478,1511,1546,1581,1616,1651,1686,1721,1756,1791,1826,1861,1896,1931,1966,2001,2036,2072,2108,2144,2181,2219,2257
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,36,38,40,43,46,49,52,55,59,63,67,71,75,81,87,93,99,105,112,119,127,135,144,153,162,171,180,189,199,209,219,229,239,249,258,267,276,285
2,3,4,6,9,12,15,19,24,30,38,46,56,66,77,90,103,118,135,154,175,197,221,247,273,305,338,371,405,440,477,515,555,597,641,688,739,801,866,934,1002,1070,1145,1227,1308,1389,1474,1560,1647,1734,1833,1935,2041,2151,2264,2380,2500,2630,2765,2904,3043,3191,3340,3489,3642,3795,3958,4128,4300,4473,4646,4828,5014,5205,5400,5604,5819,6039,6265,6491,6719,6950,7188,7436,7685,7937,8193,8459,8735,9017,9303
0,1,0,0,3,6,9,14,19,24,30,39,49,59,69,81,95,111,127,145,170,196,224,255,286,320,357,394,431,469,508,547,588,631,675,721,772,826,880,937,996,1057,1119,1185,1251,1317,1386,1456,1527,1598,1674,1754,1840,1926,2019,2118,2219,2324,2438,2553,2668,2792,2916,3040,3166,3292,3421,3553,3688,3826,3965,4108,4251,4395,4541,4694,4849,5006,5163,5320,5484,5649,5815,5984,6154,6327,6501,6679,6857,7037,7218
1,2,4,6,8,10,12,15,19,23,29,35,43,52,61,71,83,95,108,121,135,151,168,185,202,221,241,263,285,308,333,359,386,414,442,472,504,538,572,606,640,676,712,749,787,825,864,907,950,994,1040,1088,1138,1189,1241,1294,1348,1407,1469,1532,1595,1660,1725,1790,1856,1922,1991,2061,2133,2205,2280,2360,2440,2520,2602,2685,2772,2860,2951,3045,3139,3234,3331,3430,3530,3632,3734,3838,3943,4049,4155
0,0,0,0,0,0,0,0,0,1,3,5,9,14,19,26,33,40,50,63,78,95,115,135,155,178,202,226,252,281,315,350,390,432,474,525,581,647,717,791,867,943,1029,1120,1225,1330,1441,1557,1677,1798,1940,2084,2231,2378,2529,2680,2841,3013,3190,3372,3554,3747,3947,4151,4359,4567,4784,5008,5249,5497,5748,6006,6269,6540,6819,7107,7398,7691,7987,8283,8578,8874,9171,9476,9784,10093,10404,10728,11056,11390,11729
0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,25,30,35,40,47,57,67,77,87,98,110,122,134,147,160,173,186,200,214,228,242,256,270,285,300,315,330,345,360,375,390,407,426,445,465,485,506,527,548,570,595,621,647,675,705,735,766,799,834,870,908,949,991,1033,1074,1117,1161,1206,1254,1303,1353,1408,1466,1525
0,0,0,0,0,0,1,2,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,14,21,29,38,47,55,63,71,80,89,98,107,117,128,139,155,172,191,210,230,251,272,294,317,342,367,397,431,465,499,533,567,601,635,669,703,737,775,813,852,891,930,971,1012,1053,1094,1137,1183,1230,1277,1325,1373,1424,1475,1526,1577,1629,1681,1733,1785,1837,1889,1941,1993,2045,2097,2149,2203,2258,2314,2370
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,12,17,22,27,33,40,48,57,69,82,95,108,121,134,147,160,173,186,199,212,226,240,254,268,282,296,310,324,338,352,367,382,397,412,431,451,471,491,511,534,557,581,606,635,665,697,729,762,794,827,863,899,936,976,1017,1057,1098,1140,1182
0,0,0,0,0,0,0,0,0,0,1,2,3,5,8,13,20,28,36,44,57,70,84,98,112,130,149,169,189,210,232,254,276,298,320,343,374,411,451,496,544,593,648,709,777,845,916,988,1065,1144,1227,1316,1412,1508,1609,1710,1813,1919,2030,2144,2258,2375,2493,2612,2733,2854,2982,3113,3247,3386,3528,3681,3840,4002,4169,4345,4528,4711,4900,5098,5307,5519,5735,5956,6182,6413,6646,6893,7149,7419,7692
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,17,26,36,47,58,70,82,100,122,147,175,206,240,275,312,352,393,437,489,546,608,675,745,817,890,967,1050,1133,1222,1316,1416,1523,1639,1763,1889,2017,2161,2310,2462,2620,2788,2966,3144,3335,3527,3722,3929,4136,4360,4595,4843,5104,5375,5661,5955,6258,6583,6921,7268,7625,7992,8368,8750,9143,9548,9955,10367,10786,11213,11658,12122,12606,13100
0,0,0,0,0,0,0,0,0,0,0,6,14,23,32,43,55,67,80,95,113,131,151,171,191,212,233,254,275,296,317,338,360,382,405,430,456,483,510,538,566,594,622,651,679,707,736,765,794,824,854,884,915,946,977,1008,1039,1070,1102,1134,1166,1198,1230,1262,1294,1326,1359,1392,1425,1459,1493,1527,1562,1597,1633,1669,1705,1741,1777,1815,1853,1891,1929,1967,2005,2043,2082,2121,2160,2199,2238
