date,county,fips,place,confirmed_cases,x,y,region
6/14/20,Los Angeles,37,Exposition Park,342,-118.297919,34.018599,CA
6/14/20,Los Angeles,37,Faircrest Heights,10,-118.371706,34.038691,CA
6/14/20,Los Angeles,37,Figueroa Park Square,66,-118.286739,33.93256,CA
6/14/20,Los Angeles,37,Florence-Firestone,615,-118.267376,33.974897,CA
6/14/20,Los Angeles,37,Gardena,351,-118.307231,33.894352,CA
6/14/20,Los Angeles,37,Glassell Park,221,-118.231508,34.118242,CA
6/14/20,Los Angeles,37,Glendale,1131,-118.246803,34.181933,CA
6/14/20,Los Angeles,37,Glendora,188,-117.846736,34.144935,CA
6/14/20,Los Angeles,37,Gramercy Place,92,-118.309409,33.951267,CA
6/14/20,Los Angeles,37,Granada Hills,443,-118.504152,34.291056,CA
6/14/20,Los Angeles,37,Green Meadows,245,-118.263144,33.950734,CA
6/14/20,Los Angeles,37,Hacienda Heights,216,-117.978311,34.000107,CA
6/14/20,Los Angeles,37,Hancock Park,96,-118.32887,34.069715,CA
6/14/20,Los Angeles,37,Harbor City,144,-118.296386,33.781993,CA
6/14/20,Los Angeles,37,Harbor Gateway,192,-118.29466,33.866487,CA
6/14/20,Los Angeles,37,Harbor Pines,9,-118.304543,33.78262,CA
6/14/20,Los Angeles,37,Harvard Heights,176,-118.304644,34.043582,CA
6/14/20,Los Angeles,37,Harvard Park,443,-118.298016,33.981859,CA
6/14/20,Los Angeles,37,Hawaiian Gardens,114,-118.072804,33.830337,CA
6/14/20,Los Angeles,37,Hawthorne,531,-118.347694,33.914649,CA
6/14/20,Los Angeles,37,Hermosa Beach,45,-118.396435,33.865241,CA
6/14/20,Los Angeles,37,Hi Vista,1,-117.755031,34.689335,CA
6/14/20,Los Angeles,37,Hidden Hills,3,-118.661203,34.163749,CA
6/14/20,Los Angeles,37,Highland Park,336,-118.187118,34.112134,CA
6/14/20,Los Angeles,37,Historic Filipinotown,180,-118.271077,34.070245,CA
6/14/20,Los Angeles,37,Hollywood,334,-118.35386,34.100299,CA
6/14/20,Los Angeles,37,Hollywood Hills,91,-118.346365,34.120516,CA
6/14/20,Los Angeles,37,Huntington Park,767,-118.216706,33.979987,CA
6/14/20,Los Angeles,37,Hyde Park,193,-118.328048,33.983083,CA
6/14/20,Los Angeles,37,Industry,12,-117.926756,34.017494,CA
6/14/20,Los Angeles,37,Inglewood,753,-118.344474,33.956529,CA
6/14/20,Los Angeles,37,Irwindale,5,-117.963631,34.112113,CA
6/14/20,Los Angeles,37,Jefferson Park,63,-118.322769,34.02425,CA
6/14/20,Los Angeles,37,Kagel/Lopez Canyons,8,-118.37001,34.310296,CA
6/14/20,Los Angeles,37,Koreatown,374,-118.304346,34.054588,CA
6/14/20,Los Angeles,37,La Canada Flintridge,57,-118.200156,34.209689,CA
6/14/20,Los Angeles,37,La Crescenta-Montrose,37,-118.235266,34.232152,CA
6/14/20,Los Angeles,37,La Habra Heights,12,-117.950975,33.96025,CA
6/14/20,Los Angeles,37,La Mirada,228,-118.00932,33.90251,CA
6/14/20,Los Angeles,37,La Puente,226,-117.953338,34.032209,CA
6/14/20,Los Angeles,37,La Rambla,42,-118.302255,33.740218,CA
6/14/20,Los Angeles,37,La Verne,43,-117.770312,34.120692,CA
6/14/20,Los Angeles,37,Ladera Heights,25,-118.374062,33.997128,CA
6/14/20,Los Angeles,37,Lafayette Square,25,-118.334892,34.043401,CA
6/14/20,Los Angeles,37,Lake Balboa,252,-118.498229,34.198949,CA
6/14/20,Los Angeles,37,Lake Hughes,1,-118.429088,34.661878,CA
6/14/20,Los Angeles,37,Lake Los Angeles,33,-117.87071,34.620978,CA
6/14/20,Los Angeles,37,Lake Manor,4,-118.651748,34.238237,CA
6/14/20,Los Angeles,37,Lakeview Terrace,143,-118.37398,34.274649,CA
6/14/20,Los Angeles,37,Lakewood,279,-118.122171,33.84707,CA
6/14/20,Los Angeles,37,Lancaster,756,-118.175352,34.693444,CA
6/14/20,Los Angeles,37,Lawndale,157,-118.353156,33.888463,CA
6/14/20,Los Angeles,37,Leimert Park,74,-118.32453,34.006034,CA
6/14/20,Los Angeles,37,Lennox,145,-118.358601,33.938019,CA
6/14/20,Los Angeles,37,Leona Valley,3,-118.306794,34.62562,CA
6/14/20,Los Angeles,37,Lincoln Heights,369,-118.205364,34.081157,CA
6/14/20,Los Angeles,37,Little Armenia,229,-118.304855,34.094457,CA
6/14/20,Los Angeles,37,Little Bangladesh,187,-118.300377,34.065378,CA
6/14/20,Los Angeles,37,Little Tokyo,34,-118.241598,34.046994,CA
6/14/20,Los Angeles,37,Littlerock,16,-117.97807,34.531079,CA
6/14/20,Los Angeles,37,Littlerock/Juniper Hills,2,-117.919259,34.463499,CA
6/14/20,Los Angeles,37,Littlerock/Pearblossom,26,-117.897777,34.534363,CA
6/14/20,Los Angeles,37,Llano,1,-117.744875,34.49129,CA
6/14/20,Los Angeles,37,Lomita,57,-118.317456,33.793312,CA
6/14/20,Los Angeles,37,Long Beach,2599,-118.161014,33.805559,CA
6/14/20,Los Angeles,37,Longwood,32,-118.343548,34.036097,CA
6/14/20,Los Angeles,37,Los Feliz,63,-118.299672,34.131749,CA
6/14/20,Los Angeles,37,Lynwood,931,-118.201664,33.923954,CA
6/14/20,Los Angeles,37,Malibu,40,-118.784201,34.03684,CA
6/14/20,Los Angeles,37,Manchester Square,33,-118.311191,33.967273,CA
6/14/20,Los Angeles,37,Mandeville Canyon,3,-118.508629,34.091814,CA
6/14/20,Los Angeles,37,Manhattan Beach,87,-118.397059,33.889428,CA
6/14/20,Los Angeles,37,Mar Vista,93,-118.436957,34.013245,CA
6/14/20,Los Angeles,37,Marina Peninsula,15,-118.460393,33.972411,CA
6/14/20,Los Angeles,37,Marina del Rey,17,-118.447659,33.976535,CA
6/14/20,Los Angeles,37,Maywood,437,-118.187662,33.98852,CA
6/14/20,Los Angeles,37,Melrose,688,-118.334586,34.082723,CA
6/14/20,Los Angeles,37,Mid-city,136,-118.353944,34.049526,CA
6/14/20,Los Angeles,37,Miracle Mile,49,-118.353469,34.059456,CA
6/14/20,Los Angeles,37,Mission Hills,205,-118.457528,34.266942,CA
6/14/20,Los Angeles,37,Monrovia,187,-117.992121,34.165036,CA
6/14/20,Los Angeles,37,Montebello,571,-118.110797,34.015436,CA
6/14/20,Los Angeles,37,Monterey Park,222,-118.13253,34.049708,CA
6/14/20,Los Angeles,37,Mt. Washington,131,-118.216378,34.099553,CA
6/14/20,Los Angeles,37,Newhall,1,-118.526491,34.34704,CA
6/14/20,Los Angeles,37,North Hills,606,-118.478218,34.238739,CA
6/14/20,Los Angeles,37,North Hollywood,913,-118.390769,34.190006,CA
6/14/20,Los Angeles,37,North Lancaster,6,-118.141748,34.765963,CA
6/14/20,Los Angeles,37,North Whittier,23,-118.006976,34.03608,CA
6/14/20,Los Angeles,37,Northeast San Gabriel,70,-118.079216,34.115475,CA
6/14/20,Los Angeles,37,Northridge,428,-118.52853,34.237368,CA
6/14/20,Los Angeles,37,Norwalk,734,-118.082884,33.90687,CA
6/14/20,Los Angeles,37,Pacific Palisades,62,-118.531425,34.046284,CA
6/14/20,Los Angeles,37,Pacoima,996,-118.416768,34.265724,CA
6/14/20,Los Angeles,37,Palisades Highlands,7,-118.548762,34.089984,CA
6/14/20,Los Angeles,37,Palmdale,917,-118.105685,34.594429,CA
6/14/20,Los Angeles,37,Palms,219,-118.412847,34.023755,CA
6/14/20,Los Angeles,37,Palos Verdes Estates,46,-118.397292,33.787212,CA
6/14/20,Los Angeles,37,Panorama City,1031,-118.444601,34.224297,CA
6/14/20,Los Angeles,37,Paramount,539,-118.165144,33.89765,CA
6/14/20,Los Angeles,37,Park La Brea,23,-118.355627,34.069731,CA
6/14/20,Los Angeles,37,Pasadena,1042,-118.138912,34.159752,CA
6/14/20,Los Angeles,37,Pearblossom/Llano,4,-117.898903,34.494142,CA
6/14/20,Los Angeles,37,Pellissier Village,1,-118.03015,34.035291,CA
6/14/20,Los Angeles,37,Pico Rivera,701,-118.088735,33.990124,CA
6/14/20,Los Angeles,37,Pico-Union,737,-118.280491,34.045762,CA
6/14/20,Los Angeles,37,Playa Del Rey,5,-118.446368,33.961018,CA
6/14/20,Los Angeles,37,Playa Vista,36,-118.414497,33.979496,CA
6/14/20,Los Angeles,37,Pomona,822,-117.762596,34.058481,CA
6/14/20,Los Angeles,37,Porter Ranch,106,-118.557024,34.279694,CA
6/14/20,Los Angeles,37,Quartz Hill,48,-118.218626,34.65244,CA
6/14/20,Los Angeles,37,Rancho Dominguez,21,-118.218433,33.858301,CA
6/14/20,Los Angeles,37,Rancho Palos Verdes,108,-118.363522,33.75538,CA
6/14/20,Los Angeles,37,Rancho Park,20,-118.429114,34.036458,CA
6/14/20,Los Angeles,37,Redondo Beach,167,-118.376656,33.857406,CA
6/14/20,Los Angeles,37,Regent Square,10,-118.38321,34.03281,CA
6/14/20,Los Angeles,37,Reseda,758,-118.538571,34.198926,CA
